rank,athlete_id,uphill_rating
1,2699296,100.0
2,269620,92.1959008844
3,38734,91.7605486538
4,1337377,91.7128049998
5,368802,91.5907925422
6,2144304,91.4598629819
7,336988,91.3771509313
8,1329035,91.111961359
9,341257,90.1714520304
10,3077219,90.1573494386
11,2676735,90.1257357249
12,1517963,90.1248203219
13,5844623,90.0289480062
14,3507206,89.9991947145
15,3374496,89.9460824909
16,1823354,89.6014224717
17,786467,89.5525641799
18,1421035,89.0648239711
19,5720213,89.0622998818
20,10230,89.0137902508
